Day,Raw_Trend,Noise,Final_Sentiment_Score
1,0.1989615837018092,0.07450712295168489,0.2734687066534941
2,0.29177021544168125,-0.0207396451756777,0.2710305702660035
3,0.37265550400933367,0.09715328071510387,0.46980878472443754
4,0.4365883939231586,0.22845447846120379,0.6650428723843624
5,0.47959384774223446,-0.035123006208500396,0.44447084153373406
6,0.49899799464162176,-0.03512054354237708,0.46387745109924466
7,0.4935943787495748,0.23688192232610872,0.7304763010756835
8,0.4637189707302727,0.11511520937293632,0.578834180103209
9,0.41122927875516846,-0.07042115789024281,0.3408081208649256
10,0.33938885764158255,0.0813840065378947,0.42077286417947724
11,0.25266439682093267,-0.06951265392186934,0.18315174289906333
12,0.1564480032239469,-0.06985946303553853,0.08658854018840836
13,0.05672194618795665,0.03629434073490512,0.09301628692286176
14,-0.04031329107584794,-0.2869920366986697,-0.3273053277745176
15,-0.1286245274969375,-0.2587376748769549,-0.3873622023738924
16,-0.20272099812317132,-0.0843431293861459,-0.2870641275093172
17,-0.2579957432914334,-0.15192466805016355,-0.40992041134159696
18,-0.2910120470660388,0.04713709988929108,-0.2438749471767477
19,-0.29971711559015124,-0.13620361132818165,-0.4359207269183329
20,-0.2835697098652554,-0.21184555520029374,-0.49541526506554917
21,-0.2435737973706368,0.2198473153382331,-0.023726482032403712
22,-0.18221613022815678,-0.033866445072980346,-0.21608257530113711
23,-0.10331163099970336,0.010129230703188575,-0.09318240029651478
24,-0.011766199279570344,-0.21371222793201852,-0.22547842721158887
25,0.08672831338097728,-0.0816574086787774,0.005070904702199883
26,0.18604799523512622,0.016638388456479913,0.20268638369160613
27,0.28001762951224707,-0.1726490366133454,0.10736859289890166
28,0.36279463948751567,0.05635470275185079,0.41914934223936645
29,0.42923235160460227,-0.09009580348782074,0.3391365481167815
30,0.4751999907098956,-0.043754062468991516,0.4314459282409041
